,index,Pearson correlation,Gene,Slide,Method
156,ALDH3B2,0.1997405738300617,ALDH3B2,block1,Hist2ST
157,TESMIN,0.1794693140570805,TESMIN,block1,Hist2ST
158,CCND1,0.1117524946017252,CCND1,block1,Hist2ST
159,ANO1,0.2466793135783401,ANO1,block1,Hist2ST
160,FADD,0.2339663526233929,FADD,block1,Hist2ST
161,CTTN,0.1613077574540055,CTTN,block1,Hist2ST
162,PRSS23,0.1052527058711218,PRSS23,block1,Hist2ST
163,BIRC3,0.09965554179042,BIRC3,block1,Hist2ST
164,MMP1,0.0394260136411093,MMP1,block1,Hist2ST
165,CASP4,0.0862300019084914,CASP4,block1,Hist2ST
166,CD3D,0.1389588818490587,CD3D,block1,Hist2ST
167,THYN1,0.0720509876193291,THYN1,block1,Hist2ST
168,SCNN1A,0.0932471020925448,SCNN1A,block1,Hist2ST
169,MAGOHB,0.1735548585778231,MAGOHB,block1,Hist2ST
170,GPRC5A,0.1291571626092295,GPRC5A,block1,Hist2ST
171,MGP,0.169774493476579,MGP,block1,Hist2ST
172,C12orf60,0.0934144849238438,C12orf60,block1,Hist2ST
173,ITPR2,0.0710293616092526,ITPR2,block1,Hist2ST
174,ZCRB1,0.1455694831009893,ZCRB1,block1,Hist2ST
175,FAIM2,0.1062811565880484,FAIM2,block1,Hist2ST
176,NR4A1,0.0865351713595573,NR4A1,block1,Hist2ST
177,KRT81,-0.021052650998077,KRT81,block1,Hist2ST
178,PPP1R1A,0.0065313611290404,PPP1R1A,block1,Hist2ST
179,MUCL1,-0.0071223693748024,MUCL1,block1,Hist2ST
180,NUP107,0.2077582736597768,NUP107,block1,Hist2ST
181,LYZ,0.1874354833046965,LYZ,block1,Hist2ST
182,DUSP6,0.0625415486213272,DUSP6,block1,Hist2ST
183,ATP2B1,0.0768918638438102,ATP2B1,block1,Hist2ST
184,LUM,0.2431359288616343,LUM,block1,Hist2ST
185,DCN,0.3092405510374864,DCN,block1,Hist2ST
186,EEA1,0.0859373441230372,EEA1,block1,Hist2ST
187,NTN4,0.0714725270850705,NTN4,block1,Hist2ST
188,TMPO,0.1983395039723264,TMPO,block1,Hist2ST
189,ARL1,0.2121528402304889,ARL1,block1,Hist2ST
190,CHPT1,0.0923164570001118,CHPT1,block1,Hist2ST
191,SYCP3,0.0276156775235103,SYCP3,block1,Hist2ST
192,PWP1,0.1573928815113095,PWP1,block1,Hist2ST
193,TCTN1,0.1607480175706878,TCTN1,block1,Hist2ST
194,MAPKAPK5,0.176366840559577,MAPKAPK5,block1,Hist2ST
195,OAS1,0.1482531589420787,OAS1,block1,Hist2ST
196,OAS2,0.0670489852435546,OAS2,block1,Hist2ST
197,TBX3,0.1841840568597062,TBX3,block1,Hist2ST
198,OASL,0.0588000837796328,OASL,block1,Hist2ST
199,ZNF664,0.2326305219491689,ZNF664,block1,Hist2ST
200,ZNF84,0.1148025509845047,ZNF84,block1,Hist2ST
201,PSPC1,0.1519852053132418,PSPC1,block1,Hist2ST
202,HMGB1,0.1205343530103592,HMGB1,block1,Hist2ST
203,DCLK1,0.0202240712190877,DCLK1,block1,Hist2ST
204,DNAJC15,0.1885533539608313,DNAJC15,block1,Hist2ST
205,RNASEH2B,0.1392440669211798,RNASEH2B,block1,Hist2ST
206,COMMD6,0.1970481048237773,COMMD6,block1,Hist2ST
207,FARP1,0.1111890092495827,FARP1,block1,Hist2ST
208,MCF2L,0.1623417679373463,MCF2L,block1,Hist2ST
209,NGDN,0.1784897568516817,NGDN,block1,Hist2ST
210,RABGGTA,0.1407421589828471,RABGGTA,block1,Hist2ST
211,SCFD1,0.1579173908415546,SCFD1,block1,Hist2ST
212,BAZ1A,0.1197916572238943,BAZ1A,block1,Hist2ST
213,KLHDC2,0.1966397891141135,KLHDC2,block1,Hist2ST
214,PSMA3,0.1761529897807593,PSMA3,block1,Hist2ST
215,PCNX4,0.0875000641515039,PCNX4,block1,Hist2ST
216,DHRS7,0.1580784617910382,DHRS7,block1,Hist2ST
217,MTHFD1,0.1798995556776974,MTHFD1,block1,Hist2ST
218,FUT8,0.1644255004484262,FUT8,block1,Hist2ST
219,COQ6,0.1422095648151702,COQ6,block1,Hist2ST
220,FOS,0.0804864593950785,FOS,block1,Hist2ST
221,ZC3H14,0.1503699199837767,ZC3H14,block1,Hist2ST
222,UBR7,0.1938699217793946,UBR7,block1,Hist2ST
223,IFI27L2,0.0244503895552544,IFI27L2,block1,Hist2ST
224,IGHG4,0.2595720388628225,IGHG4,block1,Hist2ST
225,APBA2,0.075092793263461,APBA2,block1,Hist2ST
226,EMC4,0.1948417147144699,EMC4,block1,Hist2ST
227,NUSAP1,0.1764808573431393,NUSAP1,block1,Hist2ST
228,TUBGCP4,0.096792717132128,TUBGCP4,block1,Hist2ST
229,TP53BP1,0.1461866859845142,TP53BP1,block1,Hist2ST
230,SPG11,0.1601043554602944,SPG11,block1,Hist2ST
231,MYEF2,0.1483648203381327,MYEF2,block1,Hist2ST
232,TMOD3,0.1169594018503263,TMOD3,block1,Hist2ST
233,LEO1,0.18591055054096,LEO1,block1,Hist2ST
234,MYO5C,0.1353265098094769,MYO5C,block1,Hist2ST
235,ARPP19,0.1817959649903573,ARPP19,block1,Hist2ST
236,ADAM10,0.1382009245031152,ADAM10,block1,Hist2ST
237,CCNB2,0.1594041726706542,CCNB2,block1,Hist2ST
238,GTF2A2,0.1753437546323031,GTF2A2,block1,Hist2ST
239,VPS13C,0.0785273436963769,VPS13C,block1,Hist2ST
240,C2CD4A,0.0195058249890861,C2CD4A,block1,Hist2ST
241,TPM1,0.1072260799905388,TPM1,block1,Hist2ST
242,CILP,0.0892657224674374,CILP,block1,Hist2ST
243,ITGA11,0.0224305812983565,ITGA11,block1,Hist2ST
244,UACA,0.0588253065913804,UACA,block1,Hist2ST
245,RCN2,0.156354963196679,RCN2,block1,Hist2ST
246,PSTPIP1,0.1190110912158978,PSTPIP1,block1,Hist2ST
247,LINGO1,0.0987876334796618,LINGO1,block1,Hist2ST
248,ISG20,0.1422422518553114,ISG20,block1,Hist2ST
249,PRC1,0.1338639726927424,PRC1,block1,Hist2ST
250,SNRPA1,0.2017494112290061,SNRPA1,block1,Hist2ST
251,SBK1,0.1471101189974215,SBK1,block1,Hist2ST
252,MT1G,0.1615661603038162,MT1G,block1,Hist2ST
253,NUP93,0.1113845215723694,NUP93,block1,Hist2ST
254,CX3CL1,0.0350599292032221,CX3CL1,block1,Hist2ST
255,CMTM3,0.1185831619995382,CMTM3,block1,Hist2ST
256,CBFB,0.1692997735508917,CBFB,block1,Hist2ST
257,PRMT7,0.1337284840668712,PRMT7,block1,Hist2ST
258,CDH1,0.1918189237623225,CDH1,block1,Hist2ST
259,ZFHX3,0.0880691963549367,ZFHX3,block1,Hist2ST
260,CFDP1,0.1757482275830978,CFDP1,block1,Hist2ST
261,TERF2IP,0.1761462885786743,TERF2IP,block1,Hist2ST
262,ITGAE,0.1998672514300357,ITGAE,block1,Hist2ST
263,ALOX15B,0.0135574597688205,ALOX15B,block1,Hist2ST
264,TRPV2,0.0762498773066499,TRPV2,block1,Hist2ST
265,B9D1,0.0735514745045538,B9D1,block1,Hist2ST
266,UNC119,0.1024253609000864,UNC119,block1,Hist2ST
267,PIGS,0.184986830900734,PIGS,block1,Hist2ST
268,SPAG5,0.180185613756166,SPAG5,block1,Hist2ST
269,KIAA0100,0.1617698609654731,KIAA0100,block1,Hist2ST
270,SDF2,0.1591707688117295,SDF2,block1,Hist2ST
271,SUPT6H,0.120823243970718,SUPT6H,block1,Hist2ST
272,TRAF4,0.2042906100695919,TRAF4,block1,Hist2ST
273,CPD,0.1848328290233374,CPD,block1,Hist2ST
274,GOSR1,0.1776862047926868,GOSR1,block1,Hist2ST
275,RNF135,0.1487876302370469,RNF135,block1,Hist2ST
276,CCL2,0.0318167116210222,CCL2,block1,Hist2ST
