,Pearson correlation,Gene,Slide,Method
NGDN,0.19708654593816724,NGDN,block2,Hist2ST
RABGGTA,0.1257332887820812,RABGGTA,block2,Hist2ST
SCFD1,0.22458924698032665,SCFD1,block2,Hist2ST
BAZ1A,0.18808984510114632,BAZ1A,block2,Hist2ST
KLHDC2,0.26124545683035205,KLHDC2,block2,Hist2ST
PSMA3,0.26922898862118266,PSMA3,block2,Hist2ST
PCNX4,0.1284784258345338,PCNX4,block2,Hist2ST
DHRS7,0.1973050109389813,DHRS7,block2,Hist2ST
MTHFD1,0.1751906834406101,MTHFD1,block2,Hist2ST
FUT8,0.11159714861084645,FUT8,block2,Hist2ST
COQ6,0.16087234524149885,COQ6,block2,Hist2ST
FOS,0.05198855325369045,FOS,block2,Hist2ST
ZC3H14,0.18197991363584437,ZC3H14,block2,Hist2ST
UBR7,0.1802638854089356,UBR7,block2,Hist2ST
IFI27L2,0.0790855401046063,IFI27L2,block2,Hist2ST
IGHG4,0.261548990879052,IGHG4,block2,Hist2ST
APBA2,-0.013854154323549667,APBA2,block2,Hist2ST
EMC4,0.1755976003034144,EMC4,block2,Hist2ST
NUSAP1,0.2383798635302806,NUSAP1,block2,Hist2ST
TUBGCP4,0.13374530757458972,TUBGCP4,block2,Hist2ST
TP53BP1,0.18044524172168963,TP53BP1,block2,Hist2ST
SPG11,0.19329209956541743,SPG11,block2,Hist2ST
MYEF2,0.1739309902852152,MYEF2,block2,Hist2ST
TMOD3,0.1702765398743055,TMOD3,block2,Hist2ST
LEO1,0.22456271885586332,LEO1,block2,Hist2ST
MYO5C,0.1731875627131175,MYO5C,block2,Hist2ST
ARPP19,0.18090818102350983,ARPP19,block2,Hist2ST
ADAM10,0.14122186109387128,ADAM10,block2,Hist2ST
CCNB2,0.19731282547157333,CCNB2,block2,Hist2ST
GTF2A2,0.24065484850779878,GTF2A2,block2,Hist2ST
VPS13C,0.12795491770058856,VPS13C,block2,Hist2ST
C2CD4A,0.011697233238554636,C2CD4A,block2,Hist2ST
TPM1,0.13515327578536898,TPM1,block2,Hist2ST
CILP,0.06885265362652825,CILP,block2,Hist2ST
ITGA11,0.08572006045389836,ITGA11,block2,Hist2ST
UACA,0.038835509162515214,UACA,block2,Hist2ST
RCN2,0.1764546704210534,RCN2,block2,Hist2ST
PSTPIP1,0.14192247519363035,PSTPIP1,block2,Hist2ST
LINGO1,0.07849297739241931,LINGO1,block2,Hist2ST
ISG20,0.12211601249171798,ISG20,block2,Hist2ST
PRC1,0.18391981070671506,PRC1,block2,Hist2ST
SNRPA1,0.2210038138055408,SNRPA1,block2,Hist2ST
SBK1,0.09449121983040257,SBK1,block2,Hist2ST
MT1G,0.2155740767292607,MT1G,block2,Hist2ST
NUP93,0.14437496811635392,NUP93,block2,Hist2ST
CX3CL1,-0.01617226077895928,CX3CL1,block2,Hist2ST
CMTM3,0.05778695937752745,CMTM3,block2,Hist2ST
CBFB,0.20887274836135525,CBFB,block2,Hist2ST
PRMT7,0.18765779586071038,PRMT7,block2,Hist2ST
CDH1,0.2081990845713932,CDH1,block2,Hist2ST
ZFHX3,0.08828488544473259,ZFHX3,block2,Hist2ST
CFDP1,0.23151215154165147,CFDP1,block2,Hist2ST
TERF2IP,0.2272963096021095,TERF2IP,block2,Hist2ST
ITGAE,0.16154762807141515,ITGAE,block2,Hist2ST
ALOX15B,-0.013730038233511304,ALOX15B,block2,Hist2ST
TRPV2,0.03770318942791473,TRPV2,block2,Hist2ST
B9D1,0.08006743432017198,B9D1,block2,Hist2ST
UNC119,0.2030848575137048,UNC119,block2,Hist2ST
PIGS,0.18568017102309542,PIGS,block2,Hist2ST
SPAG5,0.2128539720640349,SPAG5,block2,Hist2ST
KIAA0100,0.1546403365629026,KIAA0100,block2,Hist2ST
SDF2,0.2236455405313063,SDF2,block2,Hist2ST
SUPT6H,0.14481252570051187,SUPT6H,block2,Hist2ST
TRAF4,0.15110033404858686,TRAF4,block2,Hist2ST
CPD,0.22269807588408116,CPD,block2,Hist2ST
GOSR1,0.20966564931569903,GOSR1,block2,Hist2ST
RNF135,0.2417301467942525,RNF135,block2,Hist2ST
CCL2,0.009852541731926144,CCL2,block2,Hist2ST
SLFN5,0.07464717645393032,SLFN5,block2,Hist2ST
AP2B1,0.18354268967840504,AP2B1,block2,Hist2ST
ZNHIT3,0.25901080871957366,ZNHIT3,block2,Hist2ST
MYO19,0.22496172237376502,MYO19,block2,Hist2ST
GGNBP2,0.20413748598914996,GGNBP2,block2,Hist2ST
ACACA,0.20601679397864706,ACACA,block2,Hist2ST
DDX52,0.1933961369355147,DDX52,block2,Hist2ST
SOCS7,0.13561900588129638,SOCS7,block2,Hist2ST
SRCIN1,0.03968194528806194,SRCIN1,block2,Hist2ST
MLLT6,0.23952395689135175,MLLT6,block2,Hist2ST
PCGF2,0.18033361641104753,PCGF2,block2,Hist2ST
PIP4K2B,0.24557014182267586,PIP4K2B,block2,Hist2ST
CWC25,0.14771233354270205,CWC25,block2,Hist2ST
LASP1,0.1721498343166325,LASP1,block2,Hist2ST
LINC00672,0.09281730664360226,LINC00672,block2,Hist2ST
MED1,0.1868417269509807,MED1,block2,Hist2ST
PPP1R1B,0.020566935619665654,PPP1R1B,block2,Hist2ST
PNMT,0.010453053678243682,PNMT,block2,Hist2ST
CASC3,0.2197345148498746,CASC3,block2,Hist2ST
CDC6,0.21712208005622427,CDC6,block2,Hist2ST
RARA,0.20283094542307584,RARA,block2,Hist2ST
TOP2A,0.27154134806497315,TOP2A,block2,Hist2ST
CCR7,0.09591766971621926,CCR7,block2,Hist2ST
KRT15,0.022279355770224565,KRT15,block2,Hist2ST
HSD17B1,0.03544101965704351,HSD17B1,block2,Hist2ST
CNTD1,0.11942685599733545,CNTD1,block2,Hist2ST
BECN1,0.1796875491975302,BECN1,block2,Hist2ST
PSME3,0.22262279500132195,PSME3,block2,Hist2ST
HOXB2,-0.002302991148684869,HOXB2,block2,Hist2ST
HOXB7,0.05523883812900303,HOXB7,block2,Hist2ST
UBE2Z,0.2523965511380465,UBE2Z,block2,Hist2ST
ZNF652,0.21882661478472595,ZNF652,block2,Hist2ST
SPOP,0.15921983561551326,SPOP,block2,Hist2ST
SLC35B1,0.2477736038813625,SLC35B1,block2,Hist2ST
FAM117A,0.07169705491256405,FAM117A,block2,Hist2ST
PDK2,0.11771720111373311,PDK2,block2,Hist2ST
EME1,0.11162946282740306,EME1,block2,Hist2ST
TOB1,0.16789223381727963,TOB1,block2,Hist2ST
TOM1L1,0.18674341975941897,TOM1L1,block2,Hist2ST
CUEDC1,0.21709699654353118,CUEDC1,block2,Hist2ST
VEZF1,0.23697083570381333,VEZF1,block2,Hist2ST
RAD51C,0.2049994689263636,RAD51C,block2,Hist2ST
CLTC,0.14576220890008282,CLTC,block2,Hist2ST
PTRH2,0.23334024106532467,PTRH2,block2,Hist2ST
DCAF7,0.20878465018462647,DCAF7,block2,Hist2ST
CCDC47,0.20839063999294416,CCDC47,block2,Hist2ST
DDX42,0.2476626282342246,DDX42,block2,Hist2ST
DDX5,0.16914110934304563,DDX5,block2,Hist2ST
CEP95,0.2000179470552683,CEP95,block2,Hist2ST
SMURF2,0.13428069254984032,SMURF2,block2,Hist2ST
CACNG4,0.10444475609129128,CACNG4,block2,Hist2ST
HELZ,0.19882272257998954,HELZ,block2,Hist2ST
PSMD12,0.2287146680110607,PSMD12,block2,Hist2ST
NOL11,0.2336147071756465,NOL11,block2,Hist2ST
KPNA2,0.20691556107664988,KPNA2,block2,Hist2ST
AMZ2,0.23736530343382822,AMZ2,block2,Hist2ST
ARSG,0.13549494449384933,ARSG,block2,Hist2ST
WIPI1,0.16214184624058395,WIPI1,block2,Hist2ST
SOX9,0.14482608186628262,SOX9,block2,Hist2ST
SLC16A5,0.04074301530470822,SLC16A5,block2,Hist2ST
QRICH2,0.07543268258753597,QRICH2,block2,Hist2ST
CANT1,0.1506180960787716,CANT1,block2,Hist2ST
SECTM1,0.11046113087356119,SECTM1,block2,Hist2ST
