,Pearson correlation,Gene,Slide,Method
KLHDC2,0.01678377150101395,KLHDC2,1142243F,HisToGene
PSMA3,0.06372812256176325,PSMA3,1142243F,HisToGene
PCNX4,0.01917983330178916,PCNX4,1142243F,HisToGene
DHRS7,0.024395297737708717,DHRS7,1142243F,HisToGene
MTHFD1,0.06324863164145716,MTHFD1,1142243F,HisToGene
FUT8,0.013259109423786705,FUT8,1142243F,HisToGene
COQ6,0.03793583285041888,COQ6,1142243F,HisToGene
FOS,-0.00842825937763768,FOS,1142243F,HisToGene
ZC3H14,0.059389427671841216,ZC3H14,1142243F,HisToGene
UBR7,0.03663901293304664,UBR7,1142243F,HisToGene
IFI27L2,0.051741947661912355,IFI27L2,1142243F,HisToGene
IGHG4,0.10490956300788745,IGHG4,1142243F,HisToGene
APBA2,0.029693008770095133,APBA2,1142243F,HisToGene
EMC4,0.030074916351860635,EMC4,1142243F,HisToGene
NUSAP1,0.050090522224731884,NUSAP1,1142243F,HisToGene
TUBGCP4,0.04362360266195905,TUBGCP4,1142243F,HisToGene
TP53BP1,0.003877884871852759,TP53BP1,1142243F,HisToGene
SPG11,0.0191455781642862,SPG11,1142243F,HisToGene
MYEF2,0.057785835768955976,MYEF2,1142243F,HisToGene
TMOD3,0.03758796526558096,TMOD3,1142243F,HisToGene
LEO1,0.04283220869153548,LEO1,1142243F,HisToGene
MYO5C,0.052834116659748624,MYO5C,1142243F,HisToGene
ARPP19,0.04014857980550507,ARPP19,1142243F,HisToGene
ADAM10,0.020137262405406555,ADAM10,1142243F,HisToGene
CCNB2,0.05558306000280549,CCNB2,1142243F,HisToGene
GTF2A2,0.053011522162128975,GTF2A2,1142243F,HisToGene
VPS13C,0.02191860914616945,VPS13C,1142243F,HisToGene
C2CD4A,,C2CD4A,1142243F,HisToGene
TPM1,0.03349806577142202,TPM1,1142243F,HisToGene
CILP,0.06453654884381832,CILP,1142243F,HisToGene
ITGA11,-0.00876443676940316,ITGA11,1142243F,HisToGene
UACA,0.1439167363224238,UACA,1142243F,HisToGene
RCN2,0.0697843204639643,RCN2,1142243F,HisToGene
PSTPIP1,0.02874092349776797,PSTPIP1,1142243F,HisToGene
LINGO1,0.0029700446747123986,LINGO1,1142243F,HisToGene
ISG20,0.018132068711136987,ISG20,1142243F,HisToGene
PRC1,0.03603565771321003,PRC1,1142243F,HisToGene
SNRPA1,0.0709170575858549,SNRPA1,1142243F,HisToGene
SBK1,0.050452215360076755,SBK1,1142243F,HisToGene
MT1G,0.0341285179352437,MT1G,1142243F,HisToGene
NUP93,0.009893776449419352,NUP93,1142243F,HisToGene
CX3CL1,0.018953092804253658,CX3CL1,1142243F,HisToGene
CMTM3,0.06581915140532794,CMTM3,1142243F,HisToGene
CBFB,0.04424320035612053,CBFB,1142243F,HisToGene
PRMT7,0.036990892810931944,PRMT7,1142243F,HisToGene
CDH1,0.03920463464978672,CDH1,1142243F,HisToGene
ZFHX3,0.029044631945528525,ZFHX3,1142243F,HisToGene
CFDP1,0.028714249275895616,CFDP1,1142243F,HisToGene
TERF2IP,0.03486453025237951,TERF2IP,1142243F,HisToGene
ITGAE,0.041357690943745,ITGAE,1142243F,HisToGene
ALOX15B,0.041333943582392486,ALOX15B,1142243F,HisToGene
TRPV2,0.017267266591409296,TRPV2,1142243F,HisToGene
B9D1,0.010859743688713216,B9D1,1142243F,HisToGene
UNC119,0.05322170484645154,UNC119,1142243F,HisToGene
PIGS,0.04566906926338515,PIGS,1142243F,HisToGene
SPAG5,0.05965047157960774,SPAG5,1142243F,HisToGene
KIAA0100,0.005107611544746789,KIAA0100,1142243F,HisToGene
SDF2,0.05009287421336704,SDF2,1142243F,HisToGene
SUPT6H,0.036935421347897415,SUPT6H,1142243F,HisToGene
TRAF4,-0.028188514647185588,TRAF4,1142243F,HisToGene
CPD,0.038215533185606776,CPD,1142243F,HisToGene
GOSR1,0.009812130596572882,GOSR1,1142243F,HisToGene
RNF135,0.01042763295326277,RNF135,1142243F,HisToGene
CCL2,0.06906637463991575,CCL2,1142243F,HisToGene
SLFN5,0.06156330799741575,SLFN5,1142243F,HisToGene
AP2B1,0.03933584525103067,AP2B1,1142243F,HisToGene
ZNHIT3,0.0600906698468992,ZNHIT3,1142243F,HisToGene
MYO19,0.041430190958032985,MYO19,1142243F,HisToGene
GGNBP2,0.03367629695396313,GGNBP2,1142243F,HisToGene
ACACA,0.02228037229176117,ACACA,1142243F,HisToGene
DDX52,0.021552362020458005,DDX52,1142243F,HisToGene
SOCS7,0.02701954672420199,SOCS7,1142243F,HisToGene
SRCIN1,0.023610733343535858,SRCIN1,1142243F,HisToGene
MLLT6,0.05388804161870925,MLLT6,1142243F,HisToGene
PCGF2,0.033622441097788926,PCGF2,1142243F,HisToGene
PIP4K2B,0.06002455532053746,PIP4K2B,1142243F,HisToGene
CWC25,0.07312442178398045,CWC25,1142243F,HisToGene
LASP1,0.011966242544350799,LASP1,1142243F,HisToGene
LINC00672,0.009656890544990212,LINC00672,1142243F,HisToGene
MED1,0.06238175219381196,MED1,1142243F,HisToGene
PPP1R1B,0.08114540273297821,PPP1R1B,1142243F,HisToGene
PNMT,0.027666099323834285,PNMT,1142243F,HisToGene
CASC3,0.018308364503090122,CASC3,1142243F,HisToGene
CDC6,0.04294424473274917,CDC6,1142243F,HisToGene
RARA,0.01610235423295943,RARA,1142243F,HisToGene
TOP2A,0.08562800420156436,TOP2A,1142243F,HisToGene
CCR7,0.009802078007191638,CCR7,1142243F,HisToGene
KRT15,0.05036933277612579,KRT15,1142243F,HisToGene
HSD17B1,0.025862307743476382,HSD17B1,1142243F,HisToGene
CNTD1,0.014028084806137039,CNTD1,1142243F,HisToGene
BECN1,0.030264095740899097,BECN1,1142243F,HisToGene
PSME3,0.010362334876095426,PSME3,1142243F,HisToGene
HOXB2,0.09245048800302957,HOXB2,1142243F,HisToGene
HOXB7,0.04059267214439311,HOXB7,1142243F,HisToGene
UBE2Z,-0.011438157555245061,UBE2Z,1142243F,HisToGene
ZNF652,0.02817771411250342,ZNF652,1142243F,HisToGene
SPOP,0.021601205958471877,SPOP,1142243F,HisToGene
SLC35B1,0.05180887746588074,SLC35B1,1142243F,HisToGene
FAM117A,0.04649689863203692,FAM117A,1142243F,HisToGene
PDK2,0.04878226683095425,PDK2,1142243F,HisToGene
EME1,0.033746327056401425,EME1,1142243F,HisToGene
TOB1,0.03528766752717419,TOB1,1142243F,HisToGene
TOM1L1,0.06477288043996327,TOM1L1,1142243F,HisToGene
CUEDC1,0.033328584401446835,CUEDC1,1142243F,HisToGene
VEZF1,0.02967068699272125,VEZF1,1142243F,HisToGene
RAD51C,0.03639584920111558,RAD51C,1142243F,HisToGene
CLTC,0.011801336331445653,CLTC,1142243F,HisToGene
PTRH2,0.02935859085080967,PTRH2,1142243F,HisToGene
DCAF7,0.07888754744835308,DCAF7,1142243F,HisToGene
CCDC47,0.008771340104348421,CCDC47,1142243F,HisToGene
DDX42,0.07430463358599568,DDX42,1142243F,HisToGene
DDX5,0.11807964140915071,DDX5,1142243F,HisToGene
CEP95,0.06517583536796105,CEP95,1142243F,HisToGene
SMURF2,0.029650440719962166,SMURF2,1142243F,HisToGene
